Song Name,Vibe,Energy,Danceability,Happiness,Loudness
Epik High - Born Hater,Workout,78,80,87,-6 dB
Keith Ape - It G Ma,Workout,37,96,15,-11 dB
Rich Brian - Dat $tick,Workout,51,92,17,-9 dB
Higher Brothers - Made In China,Workout,53,84,19,-5 dB
Teriyaki Boyz - Tokyo Drift,Workout,90,76,94,-5 dB
Hans Zimmer - Mombasa,Workout,83,51,34,-13 dB
Junkie XL - Brothers In Arms,Workout,44,22,13,-9 dB
Two Steps From Hell - Heart of Courage,Workout,59,39,18,-9 dB
Hans Zimmer - Supermarine,Workout,87,55,15,-13 dB
Ludwig Goransson - Tenet,Workout,72,75,21,-6 dB
Brian Tyler - Fast Five Theme,Workout,78,25,18,-10 dB
Steve Jablonsky - Arrival To Earth,Workout,38,10,7,-16 dB
Tom Holkenborg - Mad Max Fury Road,Workout,89,25,29,-6 dB
Ludovico Einaudi - Nuvole Bianche,Study,6,19,5,-25 dB
Yiruma - River Flows in You,Study,22,32,12,-21 dB
Erik Satie - Gymnopédie No.1,Study,1,47,36,-37 dB
Beethoven - Moonlight Sonata,Study,2,31,14,-36 dB
Mozart - Piano Concerto No. 21,Study,2,16,6,-30 dB
Chopin - Nocturne Op. 9 No. 2,Study,1,45,8,-31 dB
Bach - Cello Suite No. 1,Study,14,37,81,-21 dB
Max Richter - On the Nature of Daylight,Study,34,7,3,-13 dB
Brian Eno - An Ending (Ascent),Study,9,26,5,-25 dB
Aphex Twin - Avril 14th,Study,3,56,37,-30 dB
Tycho - Awake,Study,88,55,60,-6 dB
Bonobo - Cirrus,Study,84,64,36,-8 dB
Four Tet - Lush,Study,67,66,64,-10 dB
Explosions in the Sky - Your Hand in Mine,Study,50,27,12,-15 dB
Sigur Ros - Hoppipolla,Study,25,18,3,-19 dB
The xx - Intro,Study,78,62,15,-9 dB
M83 - Midnight City (Ambient Mix),Study,71,53,32,-7 dB
Radiohead - Treefingers,Study,15,17,6,-21 dB
Boards of Canada - Dayvan Cowboy,Study,62,32,4,-11 dB
Nils Frahm - Says,Study,23,22,7,-13 dB
Olafur Arnalds - Near Light,Study,35,48,9,-15 dB
Joep Beving - Sleeping Lotus,Study,3,31,19,-27 dB
Hania Rani - Eden,Study,18,44,4,-25 dB
Alexis Ffrench - Bluebird,Study,11,45,8,-21 dB
Yann Tiersen - Comptine d'un autre été,Study,19,48,5,-15 dB
Ryuichi Sakamoto - Merry Christmas Mr. Lawrence,Study,18,49,28,-18 dB
The Weeknd - Blinding Lights,Party,73,51,33,-6 dB
Calvin Harris - Summer,Party,86,60,74,-4 dB
One Direction - What Makes You Beautiful,Party,79,73,89,-2 dB
Harry Styles - Watermelon Sugar,Party,82,55,56,-4 dB
Nakash Aziz - Saami Saami,Party,79,77,81,-6 dB
Benny Dayal - Badtameez Dil,Party,93,81,79,-2 dB
Mano - Mukkala Muqabla,Party,83,75,75,-7 dB
Ramin Djawadi - Pacific Rim,Workout,69,57,53,-9 dB
Hans Zimmer - Time,Study,10,29,4,-17 dB
Hans Zimmer - Interstellar Main Theme,Study,2,31,7,-28 dB
Debussy - Clair de Lune,Study,3,31,4,-24 dB
Johann Pachelbel - Canon in D,Study,26,40,34,-12 dB
Post Malone - Circles,Party,76,70,55,-3 dB
Harris Jayaraj - Danka Maari,Workout,85,34,52,-5 dB
Ludovico Einaudi - Experience,Study,45,45,4,-11 dB
Mozart - Turkish March,Study,9,57,96,-23 dB
Vivaldi - Four Seasons Spring,Study,14,32,30,-16 dB
John Williams - Hedwig's Theme,Study,16,16,8,-17 dB
Ramin Djawadi - Light of the Seven,Study,10,27,6,-17 dB
The Weeknd - Call Out My Name,Study,59,46,17,-5 dB
Post Malone - Stay,Study,48,51,35,-5 dB
Frank Ocean - Pink + White,Study,55,55,55,-7 dB
Joji - Slow Dancing in the Dark,Study,8,31,8,-25 dB
Lofi Girl - Study Relax,Study,16,82,67,-13 dB
ChilledCow - Lofi Hip Hop,Study,84,75,79,-9 dB
Nujabes - Aruarian Dance,Study,31,61,48,-19 dB
Powfu - Death Bed,Study,75,54,70,-10 dB
Kina - Get You The Moon,Study,24,50,9,-17 dB
XXXTENTACION - Jocelyn Flores,Study,39,87,44,-9 dB
Harry Styles - Falling,Study,27,57,6,-7 dB
Sam Smith - Stay With Me,Study,42,41,19,-6 dB
Adele - Easy On Me,Study,37,60,13,-8 dB
Ed Sheeran - Supermarket Flowers,Study,24,59,26,-11 dB
Lewis Capaldi - Before You Go,Study,57,46,18,-5 dB
Coldplay - The Scientist,Study,44,56,21,-7 dB
Radiohead - No Surprises,Study,10,62,16,-20 dB
Pink Floyd - Wish You Were Here,Study,57,57,29,-8 dB
The Beatles - Yesterday,Study,1,53,16,-26 dB
Elton John - Rocket Man,Study,10,88,71,-17 dB
Simon & Garfunkel - The Sound of Silence,Study,82,91,49,-5 dB
Tracy Chapman - Fast Car,Study,29,71,19,-16 dB
Fleetwood Mac - Landslide,Study,16,41,42,-22 dB
Eagles - Hotel California (Acoustic),Study,49,55,61,-11 dB
Eric Clapton - Tears In Heaven,Study,24,50,31,-12 dB
Plain White T's - Hey There Delilah,Study,29,66,30,-11 dB
Train - Marry Me,Study,27,46,48,-9 dB
Jason Mraz - I'm Yours,Study,44,70,71,-9 dB
Jack Johnson - Better Together,Study,35,87,66,-10 dB
Vance Joy - Riptide,Study,73,48,51,-7 dB
Joe Hisaishi - Merry-Go-Round of Life,Study,29,24,19,-13 dB
Nobuo Uematsu - To Zanarkand,Study,4,43,9,-20 dB
Koji Kondo - Zelda's Lullaby,Study,12,25,27,-16 dB
C418 - Sweden,Study,1,64,20,-25 dB
C418 - Subwoofer Lullaby,Study,1,33,4,-24 dB
Toby Fox - Undertale,Study,41,55,37,-15 dB
Christopher Larkin - Hollow Knight,Study,3,22,14,-27 dB
Lena Raine - Pigstep,Study,92,62,53,-3 dB
Howard Shore - The Shire,Study,1,45,16,-24 dB
John Williams - Jurassic Park Theme,Study,13,14,6,-19 dB
Klaus Badelt - He's A Pirate,Study,69,47,13,-11 dB
Alan Silvestri - Forrest Gump Suite,Study,12,11,4,-16 dB
Thomas Newman - American Beauty,Study,1,21,5,-32 dB
Justin Hurwitz - City of Stars,Study,12,49,43,-15 dB
Ennio Morricone - The Ecstasy of Gold,Study,47,13,13,-14 dB
Gustavo Santaolalla - The Last of Us,Study,47,59,35,-12 dB
Philip Glass - Metamorphosis One,Study,3,30,5,-25 dB
Arvo Part - Spiegel im Spiegel,Study,6,12,7,-28 dB
Samuel Barber - Adagio for Strings,Study,7,10,3,-24 dB
Holst - Jupiter,Study,13,30,16,-21 dB
Tchaikovsky - Swan Lake Theme,Study,36,11,8,-9 dB
Brahms - Lullaby,Study,19,66,43,-29 dB
Schubert - Ave Maria,Study,6,21,5,-20 dB
Liszt - Liebestraum No. 3,Study,3,28,3,-27 dB
Rachmaninoff - Rhapsody on a Theme of Paganini,Study,6,17,4,-23 dB
Grieg - Morning Mood,Study,2,13,4,-30 dB
Handel - Messiah,Study,16,44,40,-16 dB
Wagner - Ride of the Valkyries,Study,23,23,7,-19 dB
Mendelssohn - Wedding March,Study,23,33,11,-12 dB
Saint-Saens - The Swan,Study,2,45,7,-26 dB
Debussy - Arabesque No. 1,Study,1,27,12,-34 dB
Satie - Gnossienne No. 1,Study,1,42,8,-28 dB
Beethoven - Fur Elise,Study,81,52,24,-4 dB
Mozart - Eine Kleine Nachtmusik,Study,11,52,44,-19 dB
Bach - Air on the G String,Study,9,6,5,-24 dB
Vivaldi - Four Seasons Winter,Study,35,50,27,-9 dB
Haydn - Surprise Symphony,Study,24,44,50,-16 dB
Stravinsky - The Rite of Spring,Study,67,64,17,-5 dB
Gershwin - Rhapsody in Blue,Study,18,31,8,-18 dB
Bernstein - West Side Story,Study,2,25,3,-36 dB
Andrew Lloyd Webber - Phantom of the Opera,Study,84,43,31,-8 dB
Stephen Sondheim - Send in the Clowns,Study,5,17,9,-17 dB
Lin-Manuel Miranda - Dear Theodosia,Study,22,60,27,-10 dB
Pasek and Paul - Rewrite The Stars,Study,62,68,28,-7 dB
Menken - Beauty and the Beast,Study,84,60,53,-5 dB
Elton John - Can You Feel The Love Tonight,Study,37,30,15,-9 dB
Phil Collins - You'll Be In My Heart,Study,75,57,65,-7 dB
Randy Newman - You've Got a Friend in Me,Study,33,69,47,-12 dB
Zimmer - Circle of Life,Study,39,40,57,-16 dB
Horner - My Heart Will Go On,Study,28,43,4,-12 dB
Silvestri - Portals,Study,51,17,8,-11 dB
Williams - Imperial March,Study,38,58,28,-14 dB
Giacchino - Up Theme,Study,2,37,9,-24 dB
Desplat - The Imitation Game,Study,31,32,6,-14 dB
Jablonsky - Arrival to Earth,Study,38,10,7,-16 dB
Powell - Test Drive,Study,58,26,24,-9 dB
Gregson-Williams - Chronicles of Narnia,Study,33,17,11,-13 dB
Djawadi - Game of Thrones Theme,Study,47,22,39,-15 dB
Bear McCreary - God of War,Study,35,23,10,-11 dB
Jeremy Soule - Dragonborn,Study,48,19,12,-13 dB
Martin O'Donnell - Halo Theme,Study,85,32,7,-9 dB
Nobuo Uematsu - One Winged Angel,Study,53,50,25,-8 dB
Yoko Shimomura - Dearly Beloved,Study,14,39,12,-16 dB
David Wise - Aquatic Ambiance,Study,23,28,8,-16 dB
Grant Kirkhope - Spiral Mountain,Study,50,70,81,-10 dB
Uematsu - Prelude,Study,43,25,4,-15 dB
Mitsuda - Corridors of Time,Study,77,49,79,-6 dB
Yasunori Mitsuda - Wind Scene,Study,35,50,40,-4 dB
Masato Nakamura - Green Hill Zone,Study,93,61,82,-5 dB
Hirokazu Tanaka - Tetris Theme,Study,97,76,97,-8 dB
Kazumi Totaka - Wii Shop Channel,Study,14,72,76,-26 dB
Manaka Kataoka - Breath of the Wild,Study,35,14,18,-18 dB
Hajime Wakai - Pikmin Theme,Study,27,46,4,-15 dB
Junichi Masuda - Pokemon Center,Study,50,55,98,-21 dB
Koji Kondo - Kakariko Village,Study,4,43,35,-26 dB
Mahito Yokota - Gusty Garden Galaxy,Study,40,32,27,-12 dB
Kenta Nagata - Mario Kart Theme,Study,30,37,47,-12 dB
Toru Minegishi - Splatoon Theme,Study,92,40,63,-6 dB
Kazumi Totaka - K.K. Slider,Study,17,57,23,-14 dB
Tomaka - Wii Sports Theme,Study,3,76,26,-25 dB
Soyez - Wii Fit Theme,Study,1,73,51,-25 dB
Yamamoto - Metroid Prime,Study,45,26,12,-10 dB
Hamauzu - Blinded by Light,Study,70,28,42,-8 dB
Shimomura - Somnus,Study,43,28,7,-8 dB
Soken - Answers,Study,39,40,11,-10 dB
Okabe - Weight of the World,Study,61,29,16,-11 dB
Meguro - Life Will Change,Study,92,70,63,-5 dB
Shoji Meguro - Beneath the Mask,Study,47,72,64,-12 dB
Toby Fox - Megalovania,Study,96,42,6,-6 dB
Christopher Larkin - Hornet,Study,36,62,64,-13 dB
Lena Raine - Otherside,Study,81,60,70,-9 dB
Gareth Coker - Ori Main Theme,Study,15,52,11,-21 dB
Austin Wintory - Journey,Study,28,62,38,-9 dB
Darren Korb - Build That Wall,Study,8,77,34,-12 dB
Ben Prunty - FTL Theme,Study,50,69,37,-9 dB
Disasterpeace - Hyper Light Drifter,Study,85,59,40,-11 dB
Danny Baranowsky - Crypt of the Necrodancer,Study,85,55,65,-7 dB
Jake Kaufman - Shovel Knight,Study,96,41,8,-8 dB
David Berl - Celeste Theme,Study,3,35,8,-24 dB
ConcernedApe - Stardew Valley Overture,Study,39,38,14,-18 dB
Valve - Portal Still Alive,Study,12,43,6,-22 dB
Ed Sheeran - Perfect,Sleep,45,60,17,-6 dB
Ed Sheeran - Thinking Out Loud,Sleep,45,78,59,-6 dB
John Legend - All of Me,Sleep,26,42,33,-7 dB
Adele - Someone Like You,Sleep,44,53,26,-7 dB
Adele - Hello,Sleep,43,58,29,-6 dB
Sam Smith - Too Good At Goodbyes,Sleep,37,72,47,-8 dB
Billie Eilish - Ocean Eyes,Sleep,42,66,14,-10 dB
Billie Eilish - Lovely,Sleep,19,53,7,-13 dB
Lewis Capaldi - Someone You Loved,Sleep,41,50,45,-6 dB
Bruno Mars - Talking to the Moon,Sleep,59,50,8,-5 dB
Coldplay - Fix You,Sleep,42,21,12,-9 dB
Coldplay - Yellow,Sleep,23,45,10,-19 dB
Zayn - Dusk Till Dawn,Sleep,44,26,10,-7 dB
Sia - Helium,Sleep,40,34,11,-7 dB
Rihanna - Stay,Sleep,31,62,13,-10 dB
Lady Gaga - Shallow,Sleep,39,58,33,-6 dB
Bruno Mars - Just the Way You Are,Sleep,84,64,42,-5 dB
Train - Drops of Jupiter,Sleep,64,48,50,-6 dB
Hoobastank - The Reason,Sleep,64,46,7,-6 dB
Evanescence - My Immortal,Sleep,27,19,10,-9 dB
Linkin Park - One More Light,Sleep,20,59,17,-11 dB
Guns N' Roses - November Rain,Sleep,64,29,23,-9 dB
The Police - Every Breath You Take,Sleep,45,82,74,-10 dB
U2 - With Or Without You,Sleep,43,54,11,-12 dB
Bryan Adams - Heaven,Sleep,59,38,33,-7 dB
Celine Dion - My Heart Will Go On,Sleep,28,43,4,-12 dB
Elvis Presley - Can't Help Falling in Love,Sleep,44,9,14,-10 dB
Frank Sinatra - Fly Me To The Moon,Sleep,30,62,38,-12 dB
Louis Armstrong - What a Wonderful World,Sleep,17,27,20,-21 dB
Ben E. King - Stand By Me,Sleep,31,65,61,-9 dB
The Beatles - Let It Be,Sleep,40,44,41,-8 dB
John Lennon - Imagine,Sleep,26,55,17,-12 dB
Bob Dylan - Knockin' on Heaven's Door,Sleep,40,51,23,-13 dB
Leonard Cohen - Hallelujah,Sleep,34,28,23,-13 dB
Don McLean - Vincent,Sleep,9,40,46,-19 dB
James Taylor - You've Got a Friend,Sleep,28,70,45,-15 dB
Norah Jones - Don't Know Why,Sleep,22,75,64,-11 dB
Etta James - At Last,Sleep,35,27,33,-9 dB
Aretha Franklin - Natural Woman,Sleep,27,60,41,-10 dB
Otis Redding - Dock of the Bay,Sleep,37,77,53,-11 dB
Al Green - Let's Stay Together,Sleep,40,76,51,-11 dB
Marvin Gaye - What's Going On,Sleep,72,28,83,-10 dB
Bill Withers - Ain't No Sunshine,Sleep,42,53,52,-11 dB
Stevie Wonder - Lately,Sleep,15,45,27,-17 dB
Prince - Purple Rain,Sleep,45,37,18,-10 dB
George Michael - Careless Whisper,Sleep,64,57,79,-9 dB
Sade - Smooth Operator,Sleep,58,73,96,-7 dB
Michael Jackson - Human Nature,Sleep,41,63,76,-14 dB
Lionel Richie - Hello,Sleep,25,49,6,-14 dB
Commodores - Easy,Sleep,39,59,36,-15 dB
Bee Gees - How Deep Is Your Love,Sleep,36,63,67,-9 dB
Carpenters - Close to You,Sleep,24,53,24,-15 dB
Simon & Garfunkel - Bridge Over Troubled Water,Sleep,43,47,58,-13 dB
Cat Stevens - Father and Son,Sleep,33,50,37,-12 dB
Joni Mitchell - Both Sides Now,Sleep,14,19,13,-14 dB
Fleetwood Mac - Songbird,Sleep,8,58,39,-16 dB
Elton John - Tiny Dancer,Sleep,43,41,28,-11 dB
Billy Joel - Vienna,Sleep,50,53,31,-7 dB
Eagles - Desperado,Sleep,22,23,18,-13 dB
Kansas - Dust in the Wind,Sleep,32,48,39,-11 dB
Don Henley - Boys of Summer,Sleep,70,52,91,-10 dB
Chicago - You're the Inspiration,Sleep,58,60,38,-7 dB
REO Speedwagon - Keep on Loving You,Sleep,72,31,41,-6 dB
Journey - Faithfully,Sleep,60,42,23,-6 dB
Toto - Africa (Acoustic),Sleep,84,56,41,-10 dB
Cyndi Lauper - Time After Time,Sleep,45,73,29,-9 dB
Bangles - Eternal Flame,Sleep,36,53,40,-7 dB
Wham! - Last Christmas,Sleep,48,74,95,-12 dB
Phil Collins - In the Air Tonight,Sleep,24,45,30,-14 dB
Sting - Fields of Gold,Sleep,34,65,32,-12 dB
R.E.M. - Everybody Hurts,Sleep,32,47,17,-10 dB
Oasis - Wonderwall,Sleep,6,46,7,-24 dB
The Verve - Bitter Sweet Symphony,Sleep,92,36,52,-6 dB
Snow Patrol - Run,Sleep,64,39,20,-6 dB
Keane - Bedshaped,Sleep,41,34,7,-7 dB
Travis - Sing,Sleep,91,33,26,-5 dB
Jeff Buckley - Hallelujah,Sleep,14,32,8,-10 dB
Red Hot Chili Peppers - Under the Bridge,Sleep,35,56,46,-13 dB
Nirvana - Something in the Way,Sleep,20,43,7,-13 dB
Stone Temple Pilots - Plush (Acoustic),Sleep,36,64,28,-11 dB
Alice in Chains - Nutshell,Sleep,56,38,16,-10 dB
Foo Fighters - Everlong (Acoustic),Sleep,34,64,55,-11 dB
Green Day - Good Riddance,Sleep,43,48,65,-8 dB
Incubus - Drive,Sleep,27,67,42,-10 dB
Lifehouse - Hanging by a Moment,Sleep,86,54,44,-5 dB
The Calling - Wherever You Will Go,Sleep,72,56,37,-5 dB
Goo Goo Dolls - Iris,Sleep,72,32,50,-8 dB
Matchbox Twenty - Unwell,Sleep,79,44,44,-5 dB
Daughtry - Home,Sleep,85,44,34,-4 dB
Five for Fighting - 100 Years,Sleep,57,64,28,-7 dB
Daniel Powter - Bad Day,Sleep,79,60,52,-4 dB
The Fray - You Found Me,Sleep,80,34,40,-5 dB
OneRepublic - Apologize,Sleep,60,65,10,-6 dB
Timbaland - Apologize,Sleep,60,65,10,-6 dB
Leona Lewis - Bleeding Love,Sleep,66,64,23,-6 dB
Beyonce - Halo,Sleep,72,51,47,-6 dB
Alicia Keys - If I Ain't Got You,Sleep,44,61,17,-9 dB
Usher - Burn,Sleep,48,80,69,-7 dB
Chris Brown - With You,Sleep,69,66,66,-4 dB
Rihanna - Take a Bow,Sleep,47,52,56,-8 dB
Katy Perry - The One That Got Away,Sleep,79,69,86,-4 dB
Taylor Swift - All Too Well,Sleep,29,59,19,-10 dB
Lorde - Ribs,Sleep,47,53,4,-9 dB
Halsey - Sorry,Sleep,25,51,35,-9 dB
Julia Michaels - Issues,Sleep,42,73,46,-7 dB
Camila Cabello - Consequences,Sleep,29,46,43,-7 dB
Selena Gomez - Lose You to Love Me,Sleep,34,52,10,-9 dB
Demi Lovato - Stone Cold,Sleep,45,42,36,-8 dB
Miley Cyrus - The Climb,Sleep,59,33,33,-7 dB
Kelly Clarkson - Because of You,Sleep,58,58,14,-5 dB
Carrie Underwood - Jesus Take the Wheel,Sleep,52,36,14,-4 dB
Rascal Flatts - Bless the Broken Road,Sleep,45,59,34,-6 dB
Lady A - Need You Now,Sleep,62,59,23,-6 dB
Lonestar - Amazed,Sleep,54,56,24,-8 dB
Shania Twain - You're Still the One,Sleep,49,59,63,-9 dB
Faith Hill - Breathe,Sleep,50,53,28,-9 dB
Dixie Chicks - Landslide,Sleep,44,57,44,-7 dB
Brad Paisley - Whiskey Lullaby,Sleep,35,59,17,-11 dB
Tim McGraw - Humble and Kind,Sleep,48,36,14,-7 dB
Kenny Chesney - There Goes My Life,Sleep,48,58,22,-8 dB
Alan Jackson - Remember When,Sleep,31,56,28,-11 dB
Garth Brooks - The Dance,Sleep,21,56,13,-13 dB
Brooks & Dunn - Believe,Sleep,22,60,21,-10 dB
Johnny Cash - Hurt,Sleep,39,53,16,-8 dB
Willie Nelson - Always on My Mind,Sleep,26,52,20,-14 dB
Loretta Lynn - Coal Miner's Daughter,Sleep,47,60,63,-9 dB
Hank Williams - I'm So Lonesome I Could Cry,Sleep,22,68,65,-13 dB
Ray Charles - Georgia on My Mind,Sleep,40,14,30,-9 dB
Nina Simone - Feeling Good,Sleep,33,45,55,-9 dB
Ella Fitzgerald - Misty,Sleep,11,36,23,-14 dB
Billie Holiday - Strange Fruit,Sleep,4,31,6,-23 dB
Sarah Vaughan - Misty,Sleep,20,21,14,-14 dB
Nat King Cole - Unforgettable,Sleep,29,29,14,-13 dB
Dean Martin - That's Amore,Sleep,22,46,54,-10 dB
Judy Garland - Over the Rainbow,Sleep,27,37,24,-15 dB
Julie Andrews - Edelweiss,Sleep,13,29,23,-16 dB
Barbra Streisand - The Way We Were,Sleep,32,26,17,-12 dB
Bette Midler - The Rose,Sleep,10,26,8,-13 dB
Sarah McLachlan - Angel,Sleep,9,40,13,-14 dB
Dido - White Flag,Sleep,54,51,28,-7 dB
Jewel - You Were Meant for Me,Sleep,33,62,21,-11 dB
Sheryl Crow - Strong Enough,Sleep,27,58,58,-15 dB
Alanis Morissette - Ironic,Sleep,60,50,39,-8 dB
Cranberries - Linger,Sleep,43,44,20,-15 dB
No Doubt - Don't Speak,Sleep,71,52,54,-7 dB
Sixpence None the Richer - Kiss Me,Sleep,75,53,42,-7 dB
Natalie Imbruglia - Torn,Sleep,89,57,61,-5 dB
Savage Garden - Truly Madly Deeply,Sleep,70,56,82,-9 dB
NSYNC - This I Promise You,Sleep,59,55,47,-6 dB
Westlife - My Love,Sleep,59,49,33,-6 dB
Boyz II Men - End of the Road,Sleep,43,64,53,-9 dB
K-Ci & JoJo - All My Life,Sleep,50,64,17,-9 dB
Brian McKnight - Back at One,Sleep,35,66,26,-9 dB
Luther Vandross - Dance with My Father,Sleep,34,74,23,-10 dB
